Sample_ID	Mutant.309.R1.drna.DVBt.DVB.S7.R1.001	Mutant.309.R2.drna.DVBt.DVB.S8.R1.001	Mutant.309.R3.drna.DVBt.DVB.S9.R1.001	WT.39.R1.drna.DVBt.DVB.S13.R1.001	WT.39.R2.drna.DVBt.DVB.S14.R1.001	WT.39.R3.drna.DVBt.DVB.S15.R1.001	GBA.KTI6.1.dRNA.DVBt.DVB.S10.R1.001.bam	GBA.KTI6.2.dRNA.DVBt.DVB.S11.R1.001.bam	GBA.KTI6.3.dRNA.DVBt.DVB.S12.R1.001.bam	WT.56.1.dRNA.DVBt.DVB.S13.R1.001.bam	WT.56.2.dRNA.DVBt.DVB.S14.R1.001.bam	WT.56.3.dRNA.DVBt.DVB.S15.R1.001.bam
RAB15	1389.0	1436.0	2637.0	4938.0	5207.0	5432.0	2364.0	2767.0	2708.0	3356.0	4921.0	5949.0
RAB17	6.0	6.0	9.0	21.0	6.0	10.0	6.0	5.0	9.0	8.0	6.0	3.0
RAB18	7253.0	7522.0	7489.0	7282.0	8460.0	7479.0	6223.0	5549.0	4733.0	5734.0	5895.0	6485.0
RAB19	0.0	0.0	1.0	2.0	0.0	2.0	2.0	0.0	0.0	1.0	1.0	1.0
RAB1A	5266.0	5631.0	6486.0	7939.0	8543.0	8667.0	4628.0	4461.0	3931.0	5183.0	5786.0	6358.0
RAB1B	1497.0	1511.0	1665.0	975.0	1020.0	962.0	1786.0	1677.0	1328.0	1263.0	1075.0	1241.0
RAB1C	87.0	80.0	99.0	66.0	61.0	69.0	134.0	106.0	97.0	94.0	82.0	93.0
RAB20	498.0	542.0	509.0	101.0	33.0	8.0	315.0	242.0	246.0	249.0	98.0	130.0
RAB21	2635.0	2806.0	2948.0	2435.0	2561.0	2477.0	2112.0	1935.0	1706.0	1954.0	1798.0	2260.0
RAB22A	2640.0	2769.0	2964.0	3720.0	4308.0	3620.0	2680.0	2282.0	2059.0	2308.0	2605.0	3007.0
RAB23	1344.0	1308.0	1290.0	869.0	785.0	771.0	1520.0	1041.0	836.0	751.0	751.0	1026.0
RAB24	61.0	58.0	79.0	43.0	55.0	66.0	39.0	29.0	35.0	73.0	63.0	58.0
RAB25	0.0	2.0	4.0	4.0	1.0	7.0	0.0	0.0	5.0	3.0	7.0	1.0
RAB26	47.0	52.0	93.0	247.0	128.0	122.0	36.0	39.0	25.0	138.0	135.0	58.0
RAB27A	169.0	170.0	156.0	192.0	111.0	76.0	106.0	97.0	85.0	113.0	106.0	111.0
RAB27B	269.0	276.0	487.0	1369.0	1041.0	1289.0	335.0	494.0	392.0	821.0	727.0	1081.0
RAB28	1399.0	1494.0	1406.0	585.0	513.0	424.0	890.0	742.0	673.0	580.0	472.0	539.0
RAB28P1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAB28P2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
RAB28P3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAB28P4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAB28P5	34.0	39.0	41.0	28.0	38.0	26.0	25.0	20.0	22.0	28.0	19.0	23.0
RAB29	476.0	369.0	408.0	491.0	290.0	357.0	563.0	469.0	322.0	629.0	673.0	596.0
RAB2A	6562.0	7086.0	7771.0	9835.0	10869.0	11000.0	5557.0	5206.0	4399.0	6454.0	6525.0	6958.0
RAB2B	1917.0	1945.0	2327.0	2336.0	2873.0	2280.0	1636.0	1563.0	1380.0	1940.0	1992.0	2277.0
RAB30	943.0	1147.0	1369.0	3810.0	6348.0	8174.0	1358.0	1444.0	1327.0	2770.0	2805.0	3911.0
RAB31	2347.0	2226.0	2647.0	2521.0	3437.0	3488.0	1473.0	1743.0	1609.0	2168.0	2921.0	3950.0
RAB32	244.0	244.0	230.0	184.0	159.0	119.0	479.0	278.0	230.0	243.0	274.0	360.0
RAB33A	63.0	124.0	264.0	579.0	868.0	986.0	104.0	180.0	139.0	338.0	375.0	506.0
RAB33B	882.0	915.0	976.0	1014.0	1012.0	929.0	795.0	687.0	519.0	652.0	587.0	793.0
RAB34	796.0	691.0	704.0	213.0	136.0	61.0	616.0	488.0	451.0	382.0	447.0	481.0
RAB35	795.0	904.0	1142.0	1196.0	1665.0	2117.0	1119.0	1046.0	1003.0	1372.0	1383.0	1535.0
RAB36	848.0	841.0	875.0	261.0	243.0	322.0	805.0	680.0	589.0	445.0	317.0	462.0
RAB37	33.0	15.0	19.0	23.0	10.0	0.0	50.0	53.0	37.0	18.0	21.0	11.0
RAB38	0.0	1.0	3.0	4.0	1.0	0.0	6.0	9.0	17.0	11.0	22.0	22.0
RAB39A	17.0	28.0	52.0	132.0	154.0	192.0	51.0	55.0	38.0	101.0	121.0	82.0
RAB39B	924.0	893.0	1263.0	1514.0	1792.0	2132.0	931.0	869.0	803.0	1180.0	1122.0	1255.0
RAB3A	864.0	963.0	2188.0	6824.0	8276.0	9708.0	1178.0	1562.0	1411.0	4923.0	5008.0	4007.0
RAB3B	2717.0	2191.0	4109.0	13063.0	14599.0	13533.0	2286.0	3032.0	1671.0	8817.0	8556.0	6754.0
RAB3C	2188.0	2514.0	5126.0	17942.0	16876.0	21203.0	4923.0	5175.0	4803.0	16133.0	17324.0	14396.0
RAB3D	250.0	264.0	366.0	480.0	592.0	719.0	366.0	362.0	303.0	623.0	749.0	642.0
RAB3GAP1	2594.0	2605.0	2873.0	2498.0	2533.0	2421.0	2870.0	2443.0	2128.0	2552.0	2033.0	2461.0
RAB3GAP2	3114.0	3194.0	3592.0	3454.0	3967.0	3500.0	2928.0	2831.0	2223.0	3468.0	3123.0	3317.0
RAB3IL1	90.0	71.0	132.0	219.0	323.0	414.0	54.0	95.0	72.0	186.0	221.0	196.0
RAB3IP	1291.0	1227.0	1542.0	1837.0	2014.0	1949.0	1115.0	897.0	719.0	1387.0	1075.0	1409.0
RAB40A	62.0	60.0	53.0	77.0	74.0	83.0	64.0	77.0	48.0	109.0	114.0	110.0
RAB40AL	1.0	6.0	3.0	8.0	6.0	8.0	6.0	3.0	2.0	10.0	2.0	3.0
RAB40B	441.0	459.0	526.0	421.0	402.0	380.0	392.0	309.0	333.0	422.0	355.0	391.0
RAB40C	585.0	576.0	780.0	814.0	1080.0	1185.0	620.0	645.0	563.0	843.0	717.0	789.0
